ticker,time_published,title,source,topic,sentiment_label,sentiment_score,relevance_score,url
AAPL,2026-09-03 08:13:41,"A Rare Working ""Hatfield"" Apple-1 Could Fetch Up to $800,000 USD at Bonhams",Hypebeast,technology,Somewhat-Bullish,0.297649,1.0,https://hypebeast.com/2026/9/a-rare-working-hatfield-apple-1-could-fetch-up-to-800000-usd-at-bonhams
AVGO,2026-09-02 23:14:55,Broadcom beats expectations as AI labs double down on custom chips,SiliconANGLE,earnings,Neutral,-0.060222,1.0,https://siliconangle.com/2026/09/02/broadcom-beats-expectations-as-ai-labs-double-down-on-custom-chips/
GOOGL,2026-09-02 23:14:55,Broadcom beats expectations as AI labs double down on custom chips,SiliconANGLE,earnings,Somewhat-Bullish,0.349417,0.704283,https://siliconangle.com/2026/09/02/broadcom-beats-expectations-as-ai-labs-double-down-on-custom-chips/
META,2026-09-02 23:14:55,Broadcom beats expectations as AI labs double down on custom chips,SiliconANGLE,earnings,Somewhat-Bullish,0.252237,0.715122,https://siliconangle.com/2026/09/02/broadcom-beats-expectations-as-ai-labs-double-down-on-custom-chips/
NVDA,2026-09-02 23:14:55,Broadcom beats expectations as AI labs double down on custom chips,SiliconANGLE,earnings,Neutral,0.114332,0.614139,https://siliconangle.com/2026/09/02/broadcom-beats-expectations-as-ai-labs-double-down-on-custom-chips/
AAPL,2026-09-02 23:14:55,Broadcom beats expectations as AI labs double down on custom chips,SiliconANGLE,earnings,Neutral,0.14386,0.56791,https://siliconangle.com/2026/09/02/broadcom-beats-expectations-as-ai-labs-double-down-on-custom-chips/
MSFT,2026-09-02 19:10:29,Is Microsoft Stock Winning The Move To The Cloud Or Just The AI Boom?,Trefis,technology,Bullish,0.483079,1.0,https://www.trefis.com/stock/msft/articles/613952/is-microsoft-stock-winning-the-move-to-the-cloud-or-just-the-ai-boom/2026-09-02
AMZN,2026-09-02 19:10:29,Is Microsoft Stock Winning The Move To The Cloud Or Just The AI Boom?,Trefis,technology,Neutral,0.102039,0.636543,https://www.trefis.com/stock/msft/articles/613952/is-microsoft-stock-winning-the-move-to-the-cloud-or-just-the-ai-boom/2026-09-02
AAPL,2026-09-02 19:10:29,Is Microsoft Stock Winning The Move To The Cloud Or Just The AI Boom?,Trefis,technology,Neutral,0.138828,0.634795,https://www.trefis.com/stock/msft/articles/613952/is-microsoft-stock-winning-the-move-to-the-cloud-or-just-the-ai-boom/2026-09-02
ORCL,2026-09-02 19:10:29,Is Microsoft Stock Winning The Move To The Cloud Or Just The AI Boom?,Trefis,technology,Neutral,0.106612,0.637721,https://www.trefis.com/stock/msft/articles/613952/is-microsoft-stock-winning-the-move-to-the-cloud-or-just-the-ai-boom/2026-09-02
CRM,2026-09-02 19:10:29,Is Microsoft Stock Winning The Move To The Cloud Or Just The AI Boom?,Trefis,technology,Neutral,0.116159,0.630473,https://www.trefis.com/stock/msft/articles/613952/is-microsoft-stock-winning-the-move-to-the-cloud-or-just-the-ai-boom/2026-09-02
MS,2026-09-02 18:08:43,"Apple's Foldable iPhone May Contribute $14 Billion to December Quarter Revenue, Morgan Stanley Says",Yahoo Finance,earnings,Neutral,0.121991,0.648083,https://finance.yahoo.com/markets/stocks/articles/apple-apos-foldable-iphone-may-180909159.html
AAPL,2026-09-02 18:08:43,"Apple's Foldable iPhone May Contribute $14 Billion to December Quarter Revenue, Morgan Stanley Says",Yahoo Finance,earnings,Somewhat-Bullish,0.313451,0.921163,https://finance.yahoo.com/markets/stocks/articles/apple-apos-foldable-iphone-may-180909159.html
AAPL,2026-09-02 17:19:31,"MapQuest surges to No. 1 in App Store after Google, Apple adopt Trump’s ‘Lake America’",New York Post,technology,Somewhat-Bullish,0.298003,0.940398,https://nypost.com/2026/09/02/business/mapquest-hits-no-1-in-app-store-after-google-apple-adopt-trumps-lake-america/
GOOGL,2026-09-02 17:19:31,"MapQuest surges to No. 1 in App Store after Google, Apple adopt Trump’s ‘Lake America’",New York Post,technology,Neutral,0.069802,0.85674,https://nypost.com/2026/09/02/business/mapquest-hits-no-1-in-app-store-after-google-apple-adopt-trumps-lake-america/
UBER,2026-09-02 17:19:31,"MapQuest surges to No. 1 in App Store after Google, Apple adopt Trump’s ‘Lake America’",New York Post,technology,Somewhat-Bearish,-0.203464,0.559031,https://nypost.com/2026/09/02/business/mapquest-hits-no-1-in-app-store-after-google-apple-adopt-trumps-lake-america/
AAPL,2026-09-02 17:18:47,"Rare, Working Apple I Computer Heads To Auction",Engadget,technology,Neutral,0.117031,0.844599,https://www.engadget.com/2249655/rare-working-apple-1-computer-heads-to-auction/
STT,2026-09-02 17:14:49,Comparing Global ETFs: Vanguard's VXUS vs. State Street's Climate-Focused NZAC,Yahoo Finance,financial_markets,Neutral,0.047526,0.713805,https://finance.yahoo.com/markets/stocks/articles/comparing-global-etfs-vanguards-vxus-172409840.html
